"","143A-CA3-1","144A-CA3-2","144B-CA3-1","144C-CA3-2","144D-CA3-2","146A-CA3-2","146B-CA3-2","146D-CA3-3","147C-CA3-3","147D-CA3-1","148A-CA3-3","148B-CA3-4"
"Xrn1",7.52701926570216,6.99917462710123,7.25516208233759,7.2116694834612,7.33162609442447,7.01340382038113,7.32886117315505,7.61388348248593,7.73464453854756,7.64439025447557,7.05944307237343,7.46288534513953
"Xrn2",7.19092409454992,7.57350222208301,7.18116949297438,7.61036038709718,7.31163639114791,7.417421798618,7.11539897861763,7.69207033604171,7.51851281407184,7.38546567250354,7.34136603320762,7.22736636939918
"Xrra1",6.27422618603163,6.48509415113804,5.8714991157142,6.2291892061374,6.13237832662708,5.8714991157142,6.05848225421832,5.8714991157142,6.07427772706916,6.2847407939347,5.8714991157142,6.16911037830539
"Xxylt1",6.98633937739424,7.20583365391247,7.43091433778966,7.05419726733372,7.12476529707723,7.35128888904467,7.06422885010941,6.93870837097296,7.1258112182732,7.39021182542548,7.23746959408639,7.16142050141459
"Xylb",7.18317944486593,6.91913490601422,5.8714991157142,5.8714991157142,6.64587400565253,6.32677786550449,6.6766217279604,7.32793318029346,6.32344890622653,6.67976649807206,6.96874506290244,6.75217906336225
"Xylt1",7.61497708983579,7.88885277739752,7.88267483373147,8.14054245384024,7.72275889584977,8.18447216780127,7.61565809878682,7.92349268532856,8.50031208177338,7.8381136706947,7.45144075766923,7.81804747047268
"Xylt2",7.16751469980036,6.91913490601422,7.07346994985773,7.61036038709718,7.19457104832109,7.28097810916276,7.16409088695005,7.49892026565519,7.06083143749684,7.18803783263831,7.61224725257606,7.50795243312299
"Yae1d1",7.18317944486593,6.73295367629313,6.5957121745569,7.2116694834612,6.72539814895611,7.11419845864595,6.69699131491886,7.0016777258954,6.79311375068137,6.72862682501709,6.79880969574503,6.71574128746939
"Yaf2",7.98758464106572,8.40130854460723,8.45332125350289,8.0608852794799,8.18752962869586,8.37436630495857,7.84033021882376,7.95021540111399,8.1323018321085,8.28141902004919,8.00189410019709,7.80079197055048
"Yap1",6.32772938395083,6.91913490601422,6.26149602139199,6.80396800287181,6.7440305593165,6.3579273508265,6.24468587809479,6.46317321160457,7.30334433688714,6.57076746212087,6.34854825122736,6.51590812298232
"Yars",8.288942023116,8.02118814493184,8.0774708401437,8.34609625181396,7.95543138355019,8.32055028389061,8.34058727568853,8.15005388514641,8.27021388681295,8.19994677660935,8.73047532723692,8.56732948722222
"Yars2",6.820146646853,6.99917462710123,7.38950092554831,6.95141090182867,6.7440305593165,7.03672135048363,6.56492170800354,6.73093924694629,6.90996040081126,6.96544116707347,6.85473161747078,6.89348360414842
"Ybey",6.3975866511793,6.99917462710123,6.69029523969881,6.48792481121569,6.68670729441323,6.59693575240062,6.79140618041495,6.52253307165042,6.70479698776322,7.00053700575481,6.73877435622556,6.54839604066949
"Ybx1",7.94352165948982,8.47046172312953,8.35900081992791,7.77481030834761,8.30132608343263,8.54753661297427,7.95444792728638,8.01469981993206,7.91365742216373,8.01459508197456,8.0764391776903,7.88886538644207
"Ybx2",6.4392220180607,7.20583365391247,6.73334387056803,6.83554780942797,6.60253660626119,6.87350175774286,7.23308098552508,6.78470971481763,6.76476228430558,6.55883215186653,6.56343332317156,6.63707333246704
"Ybx3",7.00512328614454,7.43025080350288,7.23106817134007,7.00420055479158,7.34148690664424,7.47992536511407,7.39799180522881,6.82280264497453,7.37075604562875,6.8831304876337,6.94463094957494,7.0150978379991
"Ydjc",6.66936421871569,6.30699851990492,7.15529507750942,6.97817996073546,7.04977332445162,7.40936371079393,7.17591065555295,6.73093924694629,7.045207889826,7.29122632044693,7.11210199216811,7.03247520267002
"Yeats2",7.68700107269328,7.7013657813165,7.74976039476478,7.48681448352985,7.54744122966715,7.44909766689329,7.47215475341969,7.53027121492242,7.35135042718446,7.71838500690342,7.50274844109288,7.47431687978009
"Yeats4",7.22881163718924,7.20583365391247,6.9524742545201,7.2116694834612,7.2386363493309,7.03672135048363,6.95298031227433,7.57876416541585,7.2659069034122,7.39493811690851,7.46633307562219,7.17643994300005
"Yes1",6.30183455629995,6.48509415113804,5.8714991157142,6.48792481121569,6.72539814895611,6.67167928784357,6.58877819516267,7.10730534166485,6.63103644224354,6.60532173521393,6.91986102171986,6.42584995917562
"Yif1a",6.59623204353364,6.30699851990492,6.14768706671911,6.70103236680679,6.98253569796566,6.25673300638427,6.63408131806947,6.03066048792372,6.67293656463209,6.52161300394872,6.24927983559293,6.67746539898762
"Yif1b",6.83151736449931,7.57350222208301,7.12875128117183,7.38473600365069,7.02344417764313,7.21548169882427,6.80901411626574,6.91671792526591,6.98003854187567,7.21617906283267,7.68828529935198,7.19124485356827
