,Subfield,Gene,Group,meandiff,p-adj,sig
270,CA1,Prkcz,conflict.yoked.VS.standard.yoked,0.1323,0.9551, 
271,CA1,Prkci,conflict.yoked.VS.standard.yoked,0.055,0.9991, 
272,CA1,Fos,standard.trained.VS.standard.yoked,0.1108,0.9827, 
273,CA1,Fosl2,standard.trained.VS.standard.yoked,-0.5146,0.4657, 
274,CA1,Npas4,standard.trained.VS.standard.yoked,-1.4882,0.4672, 
275,CA1,Arc,standard.trained.VS.standard.yoked,0.0101,1.0, 
276,CA1,Grin1,standard.trained.VS.standard.yoked,-0.1591,0.5756, 
277,CA1,Gria1,standard.trained.VS.standard.yoked,-0.1358,0.7207, 
278,CA1,Gria2,standard.trained.VS.standard.yoked,0.1488,0.8648, 
279,CA1,Pick1,standard.trained.VS.standard.yoked,0.9684,0.0932, 
280,CA1,Nsf,standard.trained.VS.standard.yoked,0.0568,0.997, 
281,CA1,Numb,standard.trained.VS.standard.yoked,-2.01,0.0106,*
282,CA1,Fmr1,standard.trained.VS.standard.yoked,0.1416,0.9369, 
283,CA1,Camk2a,standard.trained.VS.standard.yoked,-0.0671,0.9945, 
284,CA1,Wwc1,standard.trained.VS.standard.yoked,-0.156,0.9429, 
285,CA1,Prkcb,standard.trained.VS.standard.yoked,-0.5175,0.5586, 
286,CA1,Prkcz,standard.trained.VS.standard.yoked,0.1011,0.9789, 
287,CA1,Prkci,standard.trained.VS.standard.yoked,0.0495,0.9993, 
