R,G,B,hex_val,gene,hls_val
0.0,0.016008,0.0,#000400,Il3ra,#00cc00
0.319,0.558,0.122,#518e1f,Ildr1,#60a725
0.0,0.0003630000000000003,0.0001100000000000001,#000000,Ilvbl,#00cc3e
0.0,0.978105,0.000985,#00f900,Impg2,#00f900
0.990009,0.0,0.035963999999999996,#fc0009,Ing2,#fc0009
0.778221,0.0,0.247752,#c6003f,Ipmk,#cc0041
0.0,0.764,0.233,#00c33b,Iqcg,#00cc3e
0.0,0.057819999999999996,0.91434,#000fe9,Iqub,#000fe9
0.11270000000000001,0.00196,0.87514,#1d00df,Irf9,#1d00df
0.990009,0.0,0.035963999999999996,#fc0009,Irs1,#fc0009
0.998001,0.0,0.035963999999999996,#fe0009,Irs2,#fe0009
0.0,0.978112,0.010912,#00f903,Iscu,#00f903
0.113332,0.000977,0.86953,#1d00de,Itga7,#1d00de
0.0,4.800000000000004e-05,4.000000000000004e-05,#000000,Itgam,#00ccaa
0.09898,0.00196,0.8869,#1900e2,Itgb7,#1900e2
0.0,2.200000000000002e-05,2.100000000000002e-05,#000000,Jade3,#00ccc3
0.426393,0.0,0.009198000000000001,#6d0002,Jag1,#cc0004
0.00013200000000000012,2.200000000000002e-05,0.0007040000000000006,#000000,Jdp2,#2506c6
0.361638,0.637362,0.006993,#5ca302,Jmjd1c,#72ca02
0.999,0.0,0.034965,#ff0009,Jun,#ff0009
0.999,0.0,0.034965,#ff0009,Junb,#ff0009
0.999,0.0,0.034965,#ff0009,Jund,#ff0009
0.212,0.176,0.609,#362d9b,K230010J24Rik,#372e9e
0.0,0.0237,0.8911199999999999,#0006e3,Katnal1,#0006e3
0.0010360000000000002,0.004588000000000001,0.019832000000000002,#000105,Kazn,#0a2dc2
0.992007,0.0,0.033966,#fd0009,Kcna4,#fd0009
0.999,0.0,0.034965,#ff0009,Kcnj2,#ff0009
0.0,0.00020900000000000017,0.0005510000000000005,#000000,Kcnma1,#004dcc
0.990009,0.0,0.035963999999999996,#fc0009,Kctd12,#fc0009
0.007992,0.870129,0.11788199999999999,#02de1e,Kctd6,#02de1e
0.0,0.978021,0.000979,#00f900,Kctd8,#00f900
0.999,0.0,0.034965,#ff0009,Kdm6b,#ff0009
0.0,0.978,0.000978,#00f900,Keap1,#00f900
0.0,0.978105,0.011916,#00f903,Khdrbs2,#00f903
0.639195,0.0,0.378562,#a30061,Klf16,#cc0079
0.999,0.0,0.034965,#ff0009,Klf2,#ff0009
0.0,2.300000000000002e-05,2.000000000000002e-05,#000000,Klf8,#00ccb1
0.233,0.644,0.12,#3ba41f,Klhdc2,#3eac20
0.992007,0.0,0.033966,#fd0009,Klhl21,#fd0009
0.008945999999999999,0.978096,0.0049700000000000005,#02f901,Klhl26,#02f901
0.999,0.0,0.034965,#ff0009,Knop1,#ff0009
0.2415,0.0,0.735126,#3e00bb,Krba1,#4300cc
0.00196,0.392,0.5850599999999999,#006495,Krcc1,#0188cb
0.999,0.0,0.034965,#ff0009,L3hypdh,#ff0009
0.11368,0.00196,0.87416,#1d00df,Lat,#1d00df
0.006951,0.978105,0.004965,#02f901,Lats1,#02f901
0.023,0.977,0.006,#06f902,Lbh,#06f902
0.00098,0.02744,0.9319799999999999,#0007ee,Lgals1,#0007ee
0.0,0.978,0.000978,#00f900,Lgmn,#00f900
0.0,2.300000000000002e-05,2.000000000000002e-05,#000000,Lif,#00ccb1
0.09898,0.01568,0.87318,#1904df,Lin7c,#1904df
0.0,0.978,0.000978,#00f900,Lmo7,#00f900
0.999,0.0,0.034965,#ff0009,Lonrf1,#ff0009
0.0,0.978,0.000978,#00f900,Lrrc10b,#00f900
0.0,0.978,0.000978,#00f900,Lrrc48,#00f900
0.0,0.978,0.000978,#00f900,Lsm7,#00f900
0.00196,0.06076,0.91532,#000fe9,Lyrm2,#000fe9
