,gene,MIC,KLD,MWU,MIC_log,KLD_log,MWU_log
636,Agpat1,0.04850110207253011,0.10859944775561577,0.746885633390364,-3.0261687581519157,-2.2200889566184747,0.2918432067882265
637,Agpat2,0.0,0.3110932833258175,0.5453987298064473,-inf,-1.1676624653925616,0.6062381374944329
638,Agpat3,0.0,0.1190738401737898,0.9485325168506443,-inf,-2.1280114726425468,0.052839207800764176
639,Agpat4,0.09121652157366356,0.11162944550193124,0.03315998745884777,-2.394519240702949,-2.1925704152532295,3.4064113269163276
640,Agpat5,0.07721425399996762,0.11788335234979615,0.08136112923407546,-2.561171201689496,-2.1380596828523033,2.508857647863281
641,Agpat9,0.0,0.23432356885331504,0.190302035197072,-inf,-1.451052345897034,1.6591428100600165
642,Agps,0.0,0.1061504820194881,0.9485325168506443,-inf,-2.242897549915362,0.052839207800764176
643,Agrn,0.0,0.08431675111913692,0.5612758361345778,-inf,-2.4731747253021656,0.5775428077832481
644,Agrp,0.0,0.16556809050632046,0.27037437765411054,-inf,-1.7983727457773397,1.3079476964994114
645,Agt,0.0,0.17039621209795783,0.17524424540000594,-inf,-1.7696288943060785,1.7415745901257922
646,Agtpbp1,0.0,0.10006036129295172,0.6513784464763926,-inf,-2.3019816621655376,0.42866447468804925
647,Agtr1b,0.07117683903398131,0.19837481460574996,0.20177029772922417,-2.642587807950483,-1.6175970347005881,1.6006253685694647
648,Agtrap,0.15986731522445763,0.34549104592800106,0.02386844216457435,-1.8334110876382006,-1.0627885523823113,3.7351981040801885
649,Ahctf1,0.0,0.09184068612970475,0.47767502398590367,-inf,-2.3876998755143024,0.7388246438427432
650,Ahcy,0.004708585065727355,0.11225797241182513,0.08136112923407546,-5.358367826759734,-2.1869557311684735,2.508857647863281
651,Ahcyl1,0.2876167483310337,0.08334706574951092,0.045387929038794385,-1.2461264200219468,-2.484741874370084,3.0925090894900094
652,Ahcyl2,0.0,0.09190084068734425,0.40138716571176614,-inf,-2.387045101813107,0.9128288169433143
653,Ahdc1,0.00771312021311954,0.28344119643085125,0.8464505968765906,-4.864832476371939,-1.2607505973258304,0.16670344074632326
654,Ahi1,0.0,0.08581618930581957,0.40138716571176614,-inf,-2.4555476037392747,0.9128288169433143
655,Ahnak,0.10130722452150986,0.12676497513202406,0.13763825510818278,-2.289597552190455,-2.0654204964914338,1.9831263753478117
656,Ahr,0.36270178234463923,0.14206511930776866,0.005509350193476714,-1.014174318603785,-1.951469739825182,5.201308594990247
657,Ahsa1,0.0,0.08642143110228225,0.5612758361345778,-inf,-2.448519588764939,0.5775428077832481
658,Ahsa2,0.03948749663035356,0.10846933178313713,0.22003136358141206,-3.2317711981884467,-2.221287802333082,1.5139851810570426
659,AI314180,0.0,0.08767500871120923,0.8464505968765906,-inf,-2.4341183835979394,0.16670344074632326
660,AI413582,0.0,0.10403959598330798,1.0,-inf,-2.262983721691541,-0.0
661,AI464131,0.12970858506572713,0.10941151944477198,0.1065831695748876,-2.0424649981330654,-2.2126390979674233,2.2388296636282443
662,AI593442,0.0,0.07874345123035528,0.746885633390364,-inf,-2.5415601637139096,0.2918432067882265
663,AI597479,0.0,0.13448861809490456,0.6513784464763926,-inf,-2.0062757073507473,0.42866447468804925
664,AI606181,0.0,0.12312256933078758,0.13763825510818278,-inf,-2.0945749211605866,1.9831263753478117
665,AI837181,0.0,0.11315204505986289,0.045387929038794385,-inf,-2.1790228331829087,3.0925090894900094
666,AI846148,0.045383188240330385,0.1584218887582012,0.27249048346995175,-3.092613545590373,-1.8424936225438953,1.3001515885347106
667,AI854703,0.38007706579135103,0.15349560721567265,0.02386844216457435,-0.96738124210972,-1.874083329851848,3.7351981040801885
668,AI987944,0.0,0.19004349968807,0.47767502398590367,-inf,-1.66050228729904,0.7388246438427432
669,Aida,0.21777547848976364,0.13855565179114124,0.3329216080655659,-1.524290662104696,-1.9764832160753927,1.0998482279297794
670,Aif1,0.1265056372199227,0.37296602580044225,0.19621330326992936,-2.067468408804122,-0.9862679471316156,1.6285529295117405
671,Aif1l,0.0,0.8732102826505698,0.7960340952569827,-inf,-0.13557887855047684,0.22811326081765557
672,Aifm1,0.0,0.15600525384872319,0.6513784464763926,-inf,-1.8578655937822521,0.42866447468804925
673,Aifm2,0.0,0.18662138401975908,1.0,-inf,-1.6786733989581335,-0.0
674,Aifm3,0.0793684490113058,0.11544162047820024,0.40138716571176614,-2.533654357316275,-2.158990327208598,0.9128288169433143
675,Aig1,0.0,0.10604882724345949,0.6513784464763926,-inf,-2.2438556565572547,0.42866447468804925
676,Aim1,0.0,0.16386521669749265,0.9450446627040986,-inf,-1.8087110384668437,0.05652309048447389
677,Aim2,0.0,0.1593596785234399,0.6513784464763926,-inf,-1.836591502445575,0.42866447468804925
678,Aimp1,0.0,0.4328963168792543,0.6513784464763926,-inf,-0.8372570325878261,0.42866447468804925
679,Aimp2,0.068285682571396,0.14074443208399165,0.1065831695748876,-2.6840551599817255,-1.9608095716507323,2.2388296636282443
680,Aip,0.312387414173128,0.10673483570004767,0.01692468846845316,-1.1635111493661734,-2.2374076912961813,4.078981866943857
681,Aipl1,0.0,0.22401793747301094,1.0,-inf,-1.4960291523286564,-0.0
682,Aire,0.0,0.16120817816288335,0.17524424540000594,-inf,-1.825058717176117,1.7415745901257922
683,Ajap1,0.0,0.13315836393072022,0.27249048346995175,-inf,-2.0162161528428304,1.3001515885347106
684,Ajuba,0.0,0.14972653982215897,1.0,-inf,-1.8989447165488191,-0.0
685,AK010878,0.0,0.13867873474847817,0.27249048346995175,-inf,-1.9755952817396845,1.3001515885347106
686,Ak1,0.0,0.11298521796879639,0.40138716571176614,-inf,-2.1804982832621813,0.9128288169433143
687,Ak2,0.0,0.21574779845623748,0.8464505968765906,-inf,-1.5336451532132465,0.16670344074632326
688,Ak3,0.10845008166436676,0.10854297950729375,0.40138716571176614,-2.2214652886955513,-2.220609059947029,0.9128288169433143
689,Ak4,0.0,0.3171875360917435,0.17524424540000594,-inf,-1.1482620835251591,1.7415745901257922
690,Ak5,0.1478208299636865,0.08937670776695594,0.27249048346995175,-1.9117543469497333,-2.414895170268494,1.3001515885347106
691,Ak6,0.1854883212026064,0.11083632453621821,0.03315998745884777,-1.6847633573931307,-2.1997007196218097,3.4064113269163276
692,Ak9,0.049634888920602416,0.3421416411721864,0.10504261503701626,-3.0030612868677586,-1.0725304721840092,2.2533891536670967
