"","143B-CA1-1","143C-CA1-1","143D-CA1-3","144A-CA1-2","144B-CA1-1","144C-CA1-2","145A-CA1-2","145B-CA1-1","146A-CA1-2","146B-CA1-2","146C-CA1-4","147C-CA1-3","148A-CA1-3"
"Atp2b2",10.3906416937295,10.6054127801596,9.95300779273717,10.1299498803525,10.0754549717974,10.5580571335266,10.5294819632723,10.5356604223085,9.86180041385687,10.582785542447,10.6308175082665,10.4529020415936,10.3854362222147
"Atp2b3",8.83056654014483,9.39197266641007,8.84788646263477,8.81126372074905,8.77253021890744,9.37470195974539,9.28008080811825,9.15084051541889,8.6803479536313,9.37572996170608,9.34509706134372,9.11115569607453,9.24454720856239
"Atp2b4",6.79939244866084,6.89777766773993,7.10874278515999,7.13373346829363,6.90391229829758,6.984478310734,6.82740505421241,7.10563126176268,6.92320877703769,6.89138894391035,7.00071729081291,6.89282016002974,6.91126541678879
"Atp2c1",9.28519037152995,9.29689016127577,9.29886647170746,9.29486829428923,9.41195209984418,9.57243762448185,9.10864941409579,9.09591014106809,9.18409317691605,9.49914225322433,9.53476670203118,9.43569945657533,9.33997442454259
"Atp2c2",6.46717283788519,6.19555391767952,6.19555391767952,6.59683731114637,6.63546098098245,6.5818692862213,6.47992954359012,6.19555391767952,6.52372337838613,6.93272727711185,6.19555391767952,6.43916224517297,6.48027562197443
"Atp4a",6.57911798520819,6.36261505021698,6.19555391767952,6.44178276476761,6.41614559569752,6.19555391767952,6.31180636721631,6.19555391767952,6.52372337838613,6.19555391767952,6.76853481083849,6.43916224517297,6.45921590768844
"Atp5a1",10.9423259679077,10.8515338498547,10.6183942549401,10.9112168785355,10.7855068260648,10.6607833160014,10.7957825446846,10.5856128655672,10.8991259551832,10.4896938836004,10.4506074239623,10.663649215195,10.7893689759365
"Atp5b",11.1160118085299,11.0682571043606,11.1048661744136,11.1847947875876,11.1618307914787,10.9596747122989,11.1018069853999,10.975874677823,11.3192937535012,10.7544348576757,10.6277627134604,10.8841633419607,11.0554785162794
"Atp5c1",8.81350783230782,8.7353344934558,8.74671569446983,8.74865485876449,8.64748953226108,8.78693394244848,8.85652407143213,8.61694019476222,8.93226419719766,8.12648383541335,8.20824371162297,8.51778074009667,8.72640906262993
"Atp5d",8.92869221938167,9.06070304670233,8.85437248103658,9.21453803569273,8.84349742421036,8.97921777570063,8.9688472912593,8.62134722477045,9.27092834862254,8.34713248227154,8.51640232315373,8.73897737103302,8.86688332306892
"Atp5e",8.02301671763571,7.71072033426075,8.01932702418853,8.00524892678322,7.93555949563285,8.06582411986319,7.87098736032647,7.93064343200649,8.28627291161194,7.69781779842618,6.942337132475,7.59036612044142,8.02057997145409
"Atp5f1",9.0239837033894,9.07149739942404,8.8149878347652,9.17710024534929,9.27287476299362,9.07969268973368,9.08437251394522,8.80613302747671,9.243599813839,8.56184349474591,8.58988849262388,8.86643596381793,9.26804848600857
"Atp5g1",8.68300805983629,8.56357574219098,8.48486339576741,8.73378890963029,8.80989238410845,8.4595871801375,8.8195513348062,8.25946840642705,8.80790629384696,8.16211227343569,8.25938775105677,8.24170848396824,8.55510967995647
"Atp5g2",7.94189736455862,8.00277351613205,8.1904473230183,7.91475942731251,8.24372842379187,7.73129651049002,8.1066995901811,7.65118075491777,8.26751010508388,7.46831871443785,7.71180975327936,8.04724614062026,7.96500491006762
"Atp5g3",9.2511804226668,8.91816227483574,9.25592189294505,9.11427487896274,8.90039532085215,8.88333509904822,9.09080234156797,8.37567224937444,8.98494393874553,8.73166938136399,8.25938775105677,8.71693784443665,8.9860109642801
