tissue,gene,lfc,padj,logpadj,comparison,direction
DG,Elof1,-0.12522609519153952,0.9272675617724444,0.03279493270019899,yoked vs. trained,NS
DG,Elovl1,-0.8132934738093333,0.40787836188029825,0.38946933357784685,yoked vs. trained,NS
DG,Elovl2,-0.07164310598150635,0.971123556424268,0.012725511122339819,yoked vs. trained,NS
DG,Elovl4,0.36767151230203526,0.6251418662157389,0.20402141509876448,yoked vs. trained,NS
DG,Elovl5,0.5816669213777967,0.3284160766432703,0.4835755914229821,yoked vs. trained,NS
DG,Elovl6,0.4357042832283539,0.5979825821580366,0.22331146581563274,yoked vs. trained,NS
DG,Elovl7,-0.5110326313145491,0.641522260867224,0.1927882689787493,yoked vs. trained,NS
DG,Elp2,-0.17301549050244167,0.7515584904965052,0.12403721452965663,yoked vs. trained,NS
DG,Elp3,-0.04379972717472667,0.95427449816543,0.02032668201392354,yoked vs. trained,NS
DG,Elp4,0.15105826584112603,0.9329685415104393,0.030132999853456424,yoked vs. trained,NS
DG,Elp5,-0.212366800128394,0.8738443727068982,0.05856590614456571,yoked vs. trained,NS
DG,Elp6,0.3933171628092821,0.8240590996771182,0.08404164055621574,yoked vs. trained,NS
DG,Emb,-0.9988441994408813,0.42189241929876686,0.37479827809356936,yoked vs. trained,NS
DG,Emc1,-0.06304796640344995,0.927703172823752,0.032590958075922445,yoked vs. trained,NS
DG,Emc10,-0.2329228404981848,0.5898975481493236,0.22922340892905904,yoked vs. trained,NS
DG,Emc2,-0.11498619291379836,0.9201269433546304,0.036152252007429775,yoked vs. trained,NS
DG,Emc3,0.23596052023886435,0.6660244742800364,0.1765098115962542,yoked vs. trained,NS
DG,Emc4,-0.15946230737562417,0.885435351871908,0.052843142379311925,yoked vs. trained,NS
DG,Emc6,-0.19754009952018506,0.8482413773162796,0.0714805464225941,yoked vs. trained,NS
DG,Emc7,0.22624703137850596,0.7387578363409746,0.1314978993268054,yoked vs. trained,NS
DG,Emc8,-0.22068478598686425,0.7217988011880477,0.14158384358137177,yoked vs. trained,NS
DG,Emc9,0.13013312728249138,0.9559984811174506,0.019542797726864253,yoked vs. trained,NS
DG,Emd,0.3440768526121918,0.6163710605972965,0.21015776015145424,yoked vs. trained,NS
