"","143A-DG-1","143B-DG-1","143D-DG-3","144A-DG-2","144C-DG-2","144D-DG-2","145A-DG-2","145B-DG-1","146A-DG-2","146C-DG-4","147C-DG-3","147D-DG-1","148A-DG-3","148B-DG-4"
"Asnsd1",6.64675427695203,6.64862789936794,5.90418219343334,6.71800685956827,6.71336581321501,6.71783582598907,6.41840957853921,6.67884728955395,6.64907092061799,7.12189081631675,6.73595209800567,6.7329377835739,6.6439534749438,6.7848343199629
"Aspa",6.24785795933736,6.43347104854207,6.17217832696059,6.35127784089633,6.09213164185919,6.158293652155,6.41840957853921,5.90418219343334,6.2583495065361,5.90418219343334,6.22612926952978,6.18996387444747,6.3124615145274,6.44864432228325
"Aspdh",6.17612186574974,6.69272330186802,5.90418219343334,5.90418219343334,6.22926229054567,6.32463378503672,6.13512431542989,6.22359813918659,5.90418219343334,6.46159435657705,6.25180522824164,6.29989671188637,6.3124615145274,6.6043663146017
"Aspg",5.90418219343334,6.16993740736766,5.90418219343334,5.90418219343334,6.09213164185919,6.08398210769514,6.13512431542989,5.90418219343334,5.90418219343334,5.90418219343334,6.29807929850715,5.90418219343334,5.90418219343334,6.21976674361794
"Asph",8.04505111406267,7.93495062751295,7.99393099490718,8.54683009665247,8.05581951837615,8.3021589392588,8.3609886034925,8.21847204633149,8.36710040214879,7.78945149369881,8.21868860466769,8.10346101597734,8.06841131032641,8.41928864122346
"Asphd1",6.84636587433915,6.77362231858376,7.01517295990966,6.65674557877954,6.57623006960711,6.90940496631449,6.98730722738602,7.06980598834536,6.72572033608028,6.68772869997008,6.88805744359583,6.81159353012405,6.97996724984236,7.05647339118657
"Asphd2",9.30340292162492,9.43745996730135,9.44501264383257,9.17521831522138,9.16646123383821,9.34280925536992,9.4201509236646,9.57659212606099,9.35483446783567,9.01017859166824,9.22625005632341,9.34952550437694,9.21799108601595,9.4182562966827
"Aspm",6.20198935924006,6.16993740736766,6.55602157261725,6.22095645679439,5.90418219343334,6.158293652155,6.46690281544915,6.13027353638698,5.90418219343334,5.90418219343334,6.19817954709834,6.14208624041773,6.17687149431508,6.21976674361794
"Aspn",5.90418219343334,6.16993740736766,5.90418219343334,6.22095645679439,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,6.15492990143128,5.90418219343334,6.31924409711803,6.06288462432278,5.90418219343334,5.90418219343334
"Asprv1",6.2257559910495,5.90418219343334,6.17217832696059,5.90418219343334,6.32327210588944,6.30519505340859,5.90418219343334,6.40769592420539,6.40380856788695,5.90418219343334,6.13206882281993,6.27553405253594,6.39415374921788,6.21976674361794
"Aspscr1",7.38387564364063,7.42899837710028,7.12614743471348,7.47478127949026,7.33737613834395,7.41769199663598,7.35790212618854,7.34483032573424,7.59813596952113,6.77761982513323,7.24883797100937,7.37319197010943,7.52803305176741,7.38715240674517
"Asrgl1",8.63351171772516,8.4116902734838,7.86336751251182,8.23902258085322,8.05581951837615,8.06072849848883,8.1900157848814,8.68024241587918,8.31701650904244,8.09882847404841,8.28741867093705,8.06597946111047,8.23626129709959,8.21727951419974
"Ass1",6.76943390508495,6.69272330186802,6.78075733884746,6.96794998433565,6.46489363760135,6.34318958558606,6.62766060531279,6.61273489982679,6.79517658115293,6.85818785997731,6.82003663769878,6.37839192315547,6.91433319814085,6.88513304649018
"Aste1",6.82404816373417,6.55064559641568,6.4378967738278,6.73254674120217,6.96085535600462,6.4258767608187,6.84085938059306,5.90418219343334,7.07577969618213,6.68772869997008,6.9735737737042,6.62850186995742,6.87958060015084,6.44864432228325
"Astl",5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,6.17687149431508,5.90418219343334
"Astn1",8.72110969624028,8.73542816170179,8.91056855482716,9.16420650481703,9.00513955478886,9.08856840429578,9.01920435046685,8.81633337331236,8.71904083042426,8.54169034381192,8.71841158929494,8.99306062444777,8.79190985900834,8.70087244234766
"Astn2",6.66561451824885,6.88117748980138,6.60727465729643,6.74680931396716,6.6482380394317,6.55958637384528,6.41840957853921,6.67884728955395,6.33740726396399,6.29954994557385,6.68486567743179,6.5391180992605,6.97996724984236,6.88513304649018
"Asun",7.26796663461116,7.61663842475262,7.24946237640225,7.14509833315485,7.28344483698138,7.25903468028417,7.38868079266017,7.37468981253818,7.27254080036614,7.72406311225053,7.2764893502425,7.12290588521417,7.35646882680621,7.6411791660136
"Asxl1",7.95867110014984,7.83530170618398,8.21074826753882,8.12237965123261,8.09023887159528,7.90014291045026,7.96571645493673,8.00056270561683,8.00177655576908,7.58173974254216,8.02066758255472,7.98105135384429,7.80690980812426,8.06329832048691
"Asxl2",7.59564298206302,7.88278016216006,7.67045812846798,7.93213671801956,7.96556007084048,7.74716922046255,8.0565990540512,8.20350956334737,8.06499748105541,7.46255590015316,7.92653217362044,7.86394477480829,7.80690980812426,7.44262794729775
